Name,Platform,Service_Type,URL,Additional_URLs
Tech Updates Source,facebook,facebook_pages_posts,https://facebook.com/examplepage0,https://facebook.com/anotherpage0;https://facebook.com/thirdpage0;https://facebook.com/additional0
Fashion Trends Source,tiktok,tiktok_posts,https://tiktok.com/@exampleuser1,https://tiktok.com/additional1
Foodie Finds Source,facebook,facebook_comments,https://facebook.com/examplepage/posts/794,
Travel Diaries Source,facebook,facebook_comments,https://facebook.com/examplepage/posts/188,
Finance Hub Source,tiktok,tiktok_posts,https://tiktok.com/@exampleuser4,https://tiktok.com/additional4
Gaming Central Source,facebook,facebook_pages_posts,https://facebook.com/examplepage5,https://facebook.com/anotherpage5;https://facebook.com/thirdpage5;https://facebook.com/additional5
Startup Stories Source,linkedin,linkedin_posts,https://linkedin.com/company/example6,https://linkedin.com/company/example6a;https://linkedin.com/company/example6b;https://linkedin.com/company/example6c;https://linkedin.com/additional6
Health & Wellness Source,tiktok,tiktok_posts,https://tiktok.com/@exampleuser7,https://tiktok.com/additional7
DIY Creations Source,linkedin,linkedin_posts,https://linkedin.com/company/example8,https://linkedin.com/company/example8a;https://linkedin.com/company/example8b;https://linkedin.com/company/example8c;https://linkedin.com/additional8
Music Vibes Source,linkedin,linkedin_posts,https://linkedin.com/company/example9,https://linkedin.com/company/example9a;https://linkedin.com/company/example9b;https://linkedin.com/company/example9c;https://linkedin.com/additional9
